PartitionKey,RowKey,Value
tenants:modamautomation-rc,EnableConfigurableSearchTab,true
tenants:modamautomation-rc,EnableContentAutomationHub,true
tenants:modamautomation-rc,EnableDidYouMean,true
tenants:modamautomation-rc,EnableEnhancedTranscription,True
tenants:modamautomation-rc,EnableFileVersionThumbnail,true
tenants:modamautomation-rc,EnablePublicAccess,true
tenants:modamautomation-rc,EnableRecommendationCenter,true
tenants:modamautomation-rc,EnableSmartActionReview,true
tenants:modamautomation-rc,EnableSmartActions,true
tenants:modamautomation-rc,EnableSmartFacets,true
tenants:modamautomation-rc,EnableSmartSearch,true
tenants:modamautomation-rc,EnableSmartTransform,true
tenants:modamautomation-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation-rc,ExtendSimpleTextSearch,true
tenants:modamautomation-rc,PublicCDN,true
tenants:modamautomation-rc,PublicCDNPassPhrase,alla
tenants:modamautomation-rc,PublishUserEvents,true
tenants:modamautomation-rc,SalesforceConnector,true
tenants:modamautomation-rc,SimpleTextSearch,true
tenants:modamautomation-rc,UseUserDisplayName,true
tenants:modamautomation-rc,VideoSummary,true
tenants:modamautomation0-rc,AllowRecordSaveLock,true
tenants:modamautomation0-rc,AnalyticsDataCaptureEnabled,true
tenants:modamautomation0-rc,AuditArchive,true
tenants:modamautomation0-rc,AuditTrailUI,true
tenants:modamautomation0-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation0-rc,EnableAIContentCoach,true
tenants:modamautomation0-rc,EnableAIContentItemAgents,true
tenants:modamautomation0-rc,EnableAIContentTypeResolution,true
tenants:modamautomation0-rc,EnableAIPredictiveMetadata,true
tenants:modamautomation0-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation0-rc,EnableAIVisionCaptions,true
tenants:modamautomation0-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation0-rc,EnableAzureSdkLogging,true
tenants:modamautomation0-rc,EnableBulkEdit,True
tenants:modamautomation0-rc,EnableChatGPTRecommendations,true
tenants:modamautomation0-rc,EnableConfigurableSearchTab,true
tenants:modamautomation0-rc,EnableContentAutomationHub,true
tenants:modamautomation0-rc,EnableDidYouMean,true
tenants:modamautomation0-rc,EnableEnhancedTranscription,True
tenants:modamautomation0-rc,EnablePublicAccess,true
tenants:modamautomation0-rc,EnableRecommendationCenter,true
tenants:modamautomation0-rc,EnableSmartActionReview,true
tenants:modamautomation0-rc,EnableSmartActions,true
tenants:modamautomation0-rc,EnableSmartFacets,true
tenants:modamautomation0-rc,EnableSmartSearch,true
tenants:modamautomation0-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation0-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation0-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation0-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation0-rc,ExtendSimpleTextSearch,true
tenants:modamautomation0-rc,PublicCDN,true
tenants:modamautomation0-rc,PublicCDNPassPhrase,alla
tenants:modamautomation0-rc,PublishUserEvents,true
tenants:modamautomation0-rc,SalesforceConnector,true
tenants:modamautomation0-rc,SimpleTextSearch,true
tenants:modamautomation0-rc,UseUserDisplayName,true
tenants:modamautomation0-rc,VideoSummary,true
tenants:modamautomation1-rc,AllowRecordSaveLock,true
tenants:modamautomation1-rc,AnalyticsDataCaptureEnabled,true
tenants:modamautomation1-rc,AuditArchive,true
tenants:modamautomation1-rc,AuditTrailUI,true
tenants:modamautomation1-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation1-rc,EnableAIContentCoach,true
tenants:modamautomation1-rc,EnableAIContentItemAgents,true
tenants:modamautomation1-rc,EnableAIContentTypeResolution,true
tenants:modamautomation1-rc,EnableAIPredictiveMetadata,true
tenants:modamautomation1-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation1-rc,EnableAIVisionCaptions,true
tenants:modamautomation1-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation1-rc,EnableAzureSdkLogging,true
tenants:modamautomation1-rc,EnableBulkEdit,True
tenants:modamautomation1-rc,EnableChatGPTRecommendations,true
tenants:modamautomation1-rc,EnableConfigurableSearchTab,true
tenants:modamautomation1-rc,EnableContentAutomationHub,true
tenants:modamautomation1-rc,EnableDidYouMean,true
tenants:modamautomation1-rc,EnableEnhancedTranscription,True
tenants:modamautomation1-rc,EnableRecommendationCenter,true
tenants:modamautomation1-rc,EnableSmartActionReview,true
tenants:modamautomation1-rc,EnableSmartActions,true
tenants:modamautomation1-rc,EnableSmartFacets,true
tenants:modamautomation1-rc,EnableSmartSearch,true
tenants:modamautomation1-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation1-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation1-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation1-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation1-rc,ExtendSimpleTextSearch,true
tenants:modamautomation1-rc,PublicCDN,true
tenants:modamautomation1-rc,PublicCDNPassPhrase,alla
tenants:modamautomation1-rc,PublishUserEvents,true
tenants:modamautomation1-rc,SalesforceConnector,true
tenants:modamautomation1-rc,SimpleTextSearch,true
tenants:modamautomation1-rc,UseUserDisplayName,true
tenants:modamautomation1-rc,VideoSummary,true
tenants:modamautomation2-rc,AllowRecordSaveLock,true
tenants:modamautomation2-rc,AnalyticsDataCaptureEnabled,true
tenants:modamautomation2-rc,AuditArchive,true
tenants:modamautomation2-rc,AuditTrailUI,true
tenants:modamautomation2-rc,BrandGuidelineMigrationComplete,true
tenants:modamautomation2-rc,EnableAIContentCoach,true
tenants:modamautomation2-rc,EnableAIContentItemAgents,true
tenants:modamautomation2-rc,EnableAIContentTypeResolution,true
tenants:modamautomation2-rc,EnableAIPredictiveMetadata,true
tenants:modamautomation2-rc,EnableAITranscriptionTranslation,true
tenants:modamautomation2-rc,EnableAIVisionCaptions,true
tenants:modamautomation2-rc,EnableActivityMonitorDAMAssets,true
tenants:modamautomation2-rc,EnableAzureSdkLogging,true
tenants:modamautomation2-rc,EnableBulkEdit,True
tenants:modamautomation2-rc,EnableChatGPTRecommendations,true
tenants:modamautomation2-rc,EnableConfigurableSearchTab,true
tenants:modamautomation2-rc,EnableContentAutomationHub,true
tenants:modamautomation2-rc,EnableDidYouMean,true
tenants:modamautomation2-rc,EnableEnhancedTranscription,True
tenants:modamautomation2-rc,EnableRecommendationCenter,true
tenants:modamautomation2-rc,EnableSmartActionReview,true
tenants:modamautomation2-rc,EnableSmartActions,true
tenants:modamautomation2-rc,EnableSmartFacets,true
tenants:modamautomation2-rc,EnableSmartSearch,true
tenants:modamautomation2-rc,EnableTokenExpirationCheckUploadService,true
tenants:modamautomation2-rc,EnableUsingAsposeForAllPdfs,True
tenants:modamautomation2-rc,EnableVideoSummaryGeneration,true
tenants:modamautomation2-rc,ExcludeFileVersionPermissionOnDraft,True
tenants:modamautomation2-rc,ExtendSimpleTextSearch,true
tenants:modamautomation2-rc,PublicCDN,true
tenants:modamautomation2-rc,PublicCDNPassPhrase,alla
tenants:modamautomation2-rc,PublishUserEvents,true
