PartitionKey,RowKey,BackupValue,CurrentValue
tenants:modamautomation0-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomation0-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomation0-rc,PublicCDN,true,
tenants:modamautomation0-rc,PublicCDNPassPhrase,alla,
tenants:modamautomation0-rc,PublishUserEvents,true,
tenants:modamautomation0-rc,SalesforceConnector,true,
tenants:modamautomation0-rc,SimpleTextSearch,true,
tenants:modamautomation0-rc,UseUserDisplayName,true,
tenants:modamautomation0-rc,VideoSummary,true,
tenants:modamautomation0-rc,maxRunningJobsAuditingArchive,2,5
tenants:modamautomation0-rc,maxRunningJobsHigh,8,10
tenants:modamautomation1-rc,AllowRecordSaveLock,true,
tenants:modamautomation1-rc,AnalyticsDataCaptureEnabled,true,
tenants:modamautomation1-rc,AuditArchive,true,
tenants:modamautomation1-rc,AuditTrailUI,true,
tenants:modamautomation1-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomation1-rc,BrandTemplateLicenseFlag,true,false
tenants:modamautomation1-rc,DamUiBulkEditBatchSize,"""20""",10
tenants:modamautomation1-rc,ES7IndexConfiguration,"{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000}","{""RecordMaxFieldsLimit"":1000,""RecordReplicaShards"":1,""ClassificationReplicaShards"":1,""MaxNgramDifference"":6,""ClassificationMaxFieldsLimit"":1000,""ClassificationPrimaryShards"":1,""SuggestionsReplicaShards"":1,""RecordPrimaryShards"":1,""SuggestionsPrimaryShards"":1,""RecordMaxResultWindow"":5000000,""ClassificationMaxResultWindow"":100000,""NestedObjectsLimit"":10000}"
tenants:modamautomation1-rc,EnableAIContentCoach,true,
tenants:modamautomation1-rc,EnableAIContentItemAgents,true,
tenants:modamautomation1-rc,EnableAIContentTypeResolution,true,
tenants:modamautomation1-rc,EnableAIPredictiveMetadata,true,
tenants:modamautomation1-rc,EnableAITranscriptionTranslation,true,
tenants:modamautomation1-rc,EnableAIVisionCaptions,true,
tenants:modamautomation1-rc,EnableActivityMonitorDAMAssets,true,
tenants:modamautomation1-rc,EnableAzureSdkLogging,true,
tenants:modamautomation1-rc,EnableBulkEdit,True,
tenants:modamautomation1-rc,EnableChatGPTRecommendations,true,
tenants:modamautomation1-rc,EnableConfigurableSearchTab,true,
tenants:modamautomation1-rc,EnableContentAutomationHub,true,
tenants:modamautomation1-rc,EnableDidYouMean,true,
tenants:modamautomation1-rc,EnableEnhancedTranscription,True,
tenants:modamautomation1-rc,EnableRecommendationCenter,true,
tenants:modamautomation1-rc,EnableSmartActionReview,true,
tenants:modamautomation1-rc,EnableSmartActions,true,
tenants:modamautomation1-rc,EnableSmartFacets,true,
tenants:modamautomation1-rc,EnableSmartSearch,true,
tenants:modamautomation1-rc,EnableTokenExpirationCheckUploadService,true,
tenants:modamautomation1-rc,EnableUsingAsposeForAllPdfs,True,
tenants:modamautomation1-rc,EnableVideoSummaryGeneration,true,
tenants:modamautomation1-rc,ExcludeFileVersionPermissionOnDraft,True,
tenants:modamautomation1-rc,ExtendSimpleTextSearch,true,
tenants:modamautomation1-rc,MaxCreatedAuditEntryJob,50,400
tenants:modamautomation1-rc,NumberOfDaysBeforeArchiveAuditTrail,90,30
tenants:modamautomation1-rc,PublicCDN,true,
tenants:modamautomation1-rc,PublicCDNPassPhrase,alla,
tenants:modamautomation1-rc,PublishUserEvents,true,
tenants:modamautomation1-rc,SalesforceConnector,true,
tenants:modamautomation1-rc,SimpleTextSearch,true,
tenants:modamautomation1-rc,UseUserDisplayName,true,
tenants:modamautomation1-rc,VideoSummary,true,
tenants:modamautomation1-rc,maxRunningJobsAuditingArchive,2,5
tenants:modamautomation1-rc,maxRunningJobsHigh,8,10
tenants:modamautomation2-rc,AllowRecordSaveLock,true,
tenants:modamautomation2-rc,AnalyticsDataCaptureEnabled,true,
tenants:modamautomation2-rc,AuditArchive,true,
tenants:modamautomation2-rc,AuditTrailUI,true,
tenants:modamautomation2-rc,BrandGuidelineMigrationComplete,true,
tenants:modamautomation2-rc,BrandTemplateLicenseFlag,true,false
tenants:modamautomation2-rc,DamUiBulkEditBatchSize,"""20""",10
